created_at,repo,actor,sha,coauthor_ai,selfadmit_phrase,ai_agent,message
2025-06-02T15:00:00Z,davfsa/hikari,davfsa,8335c55e78aa157b62b7766ce2009d527ab2a7f3,True,False,False,Update dependency mypy to v1.16.0 (#2390)  Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com> Co-authored-by: davfsa <davfsa@gmail.com>
2025-06-02T15:00:00Z,davfsa/hikari,davfsa,69b4d1160e163ab970e888469de232964c0a966b,True,False,False,Lock file maintenance (#2402)  Co-authored-by: renovate[bot] <29139614+renovate[bot]@users.noreply.github.com>
2025-06-02T15:00:12Z,finos/legend-studio,github-actions[bot],e89a6f332de52a7e39849f21bddf15693a60f8a0,True,False,False,chore: bump versions and release (#4160)  Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>
2025-06-02T15:00:12Z,finos/legend-studio,github-actions[bot],4bfc72989e97acaae5add60f56041862d6a686ae,True,False,False,prepare for new release (#4162)  Co-authored-by: github-actions[bot] <41898282+github-actions[bot]@users.noreply.github.com>
2025-06-02T15:00:21Z,Arc-Computer/arc-eval,jbarnes850,36d672869f875b4f284588273a68c4d2502e80fb,True,False,False,Update improve_command.py  Co-authored-by: Copilot <175728472+Copilot@users.noreply.github.com>
2025-06-02T15:00:22Z,haraldkoch/kochhaus-home,haraldkoch,713f9378cc9df1c02b29d274eee57ae95675e918,True,False,False,feat(container): update flux operator group ( 0.20.0 → 0.22.0 ) [network] (#7221)  | datasource | package                                            | from   | to     | | ---------- | ----------------
2025-06-02T15:00:25Z,knocklabs/javascript,connorlindsey,13971a91b3c426bd4691c31e1fd6acc1ff40122b,True,False,False,chore(deps-dev): bump @tailwindcss/postcss from 4.1.7 to 4.1.8 (#567)  Signed-off-by: dependabot[bot] <support@github.com> Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.githu
2025-06-02T15:00:30Z,lcf-fernandes/Live06_06,lcf-fernandes,436e3c3bec7b2483d2a04cdefeecce910fb32291,False,True,False,Commit generated by Flaxboll.
2025-06-02T15:00:32Z,Matatika/tap-capsulecrm,dependabot[bot],3ad65cf94fa110aac0f3593dd6dae43345355e3a,True,False,False,chore(deps): bump singer-sdk from 0.46.3 to 0.46.4 (#44)  Bumps [singer-sdk](https://github.com/meltano/sdk) from 0.46.3 to 0.46.4. - [Release notes](https://github.com/meltano/sdk/releases) - [Change
2025-06-02T15:00:32Z,Matatika/tap-capsulecrm,dependabot[bot],319c06e463eb50a725ccc27a266d6a23a7e7d4d2,True,False,False,chore(deps-dev): bump types-requests (#43)  Bumps [types-requests](https://github.com/typeshed-internal/stub_uploader) from 2.32.0.20250515 to 2.32.0.20250602. - [Commits](https://github.com/typeshed-
2025-06-02T15:00:33Z,cryostatio/cryostat-agent,dependabot[bot],c0ca128bcedb8075c54e8eab9a3cf85f53dc5889,True,False,False,build(deps-dev): bump org.junit.jupiter:junit-jupiter (#656)  Bumps [org.junit.jupiter:junit-jupiter](https://github.com/junit-team/junit5) from 5.12.2 to 5.13.0. - [Release notes](https://github.com/
2025-06-02T15:00:33Z,Cray-HPE/canu,dependabot[bot],48a3b43c9855d846dea76bd0c6c7abc8aa99e485,True,False,False,Update mock requirement from ~=5.1.0 to ~=5.2.0 (#634)  Updates the requirements on [mock](https://github.com/testing-cabal/mock) to permit the latest version. - [Changelog](https://github.com/testing
2025-06-02T15:00:34Z,alexwday/web_research,alexwday,ed5780927545be986fd5708232b3fb506b951008,True,True,False,Update SSL configuration to follow iris-project pattern  - Add env_config.py for centralized environment configuration - Update SSL module to get certificate from its own directory - Remove ssl_settin
2025-06-02T15:00:35Z,TomerFi/auto-me-bot,TomerFi,acb6eb332f5c655f1cdd5c3181e9b56f311d2f9a,True,False,False,build(deps-dev): bump eslint from 9.27.0 to 9.28.0 (#664)  Bumps [eslint](https://github.com/eslint/eslint) from 9.27.0 to 9.28.0. - [Release notes](https://github.com/eslint/eslint/releases) - [Chang
2025-06-02T15:00:39Z,haraldkoch/kochhaus-home,haraldkoch,723302d6e0ab0bc684838364432975cc49427f4c,True,False,False,fix(helm): update grafana ( 9.2.1 → 9.2.2 ) [network] (#7252)  | datasource | package | from  | to    | | ---------- | ------- | ----- | ----- | | helm       | grafana | 9.2.1 | 9.2.2 |  Co-authored-b
2025-06-02T15:00:39Z,cryostatio/cryostat-agent,dependabot[bot],c0ca128bcedb8075c54e8eab9a3cf85f53dc5889,True,False,False,build(deps-dev): bump org.junit.jupiter:junit-jupiter (#656)  Bumps [org.junit.jupiter:junit-jupiter](https://github.com/junit-team/junit5) from 5.12.2 to 5.13.0. - [Release notes](https://github.com/
2025-06-02T15:00:43Z,gravitational/teleport,ptgott,5cd90b5eb787a4d27ba636e5fb8cf55edce6d814,True,False,False,Bump the ui group with 44 updates (#55328)  * Bump the ui group with 44 updates  Bumps the ui group with 44 updates:  | Package | From | To | | --- | --- | --- | | [@codemirror/lang-sql](https://githu
2025-06-02T15:00:43Z,fullstorydev/emulators,dependabot[bot],34759c0a4f5424add680e5aaa89e92847c8f306f,True,False,False,build(deps): bump google.golang.org/api from 0.233.0 to 0.235.0 in /examples (#343)  Bumps [google.golang.org/api](https://github.com/googleapis/google-api-go-client) from 0.233.0 to 0.235.0. <details
2025-06-02T15:00:43Z,fullstorydev/emulators,dependabot[bot],fb4b1efd46f6692e72d0b931447643bde421a0be,True,False,False,build(deps): bump google.golang.org/api from 0.233.0 to 0.235.0 in /bigtable (#345)  Bumps [google.golang.org/api](https://github.com/googleapis/google-api-go-client) from 0.233.0 to 0.235.0. <details
2025-06-02T15:00:43Z,fullstorydev/emulators,dependabot[bot],b06cc6d093f51e234d6702d9218015835b9a8414,True,False,False,"build(deps): bump google.golang.org/api from 0.233.0 to 0.235.0 in /storage (#344)  [//]: # (dependabot-start) ⚠️  **Dependabot is rebasing this PR** ⚠️   Rebasing might not happen immediately, so don"
2025-06-02T15:00:44Z,olpipi/openvino,olpipi,6173f4086faa9b716e7f0440fe88b16b95cdd116,True,False,False,Bump github/codeql-action from 3.28.17 to 3.28.18 (#30607)  Bumps [github/codeql-action](https://github.com/github/codeql-action) from 3.28.17 to 3.28.18. <details> <summary>Release notes</summary> <p
